datetime,indicator_name,indicator_dimension,value
2024-06-06 14:20:00,Humidity,%,17.8374
2024-06-06 14:20:00,Pressure,Pa,100426.6921
2024-06-06 14:20:00,PM2.5,ug/m3,6.9779
2024-06-06 14:20:00,PM10,ug/m3,12.4037
2024-06-06 14:20:00,NO₂,ppm,3.9259
2024-06-06 14:20:00,CO,ppm,0.002
2024-06-06 14:40:00,Temperature,°C,15.0295
2024-06-06 14:40:00,Humidity,%,17.5121
2024-06-06 14:40:00,Pressure,Pa,100414.6442
2024-06-06 14:40:00,PM2.5,ug/m3,7.0274
2024-06-06 14:40:00,PM10,ug/m3,12.8621
2024-06-06 14:40:00,NO₂,ppm,3.818
2024-06-06 14:40:00,CO,ppm,0.002
2024-06-06 15:00:00,Temperature,°C,15.6121
2024-06-06 15:00:00,Humidity,%,18.0037
2024-06-06 15:00:00,Pressure,Pa,100399.4895
2024-06-06 15:00:00,PM2.5,ug/m3,7.3011
2024-06-06 15:00:00,PM10,ug/m3,13.7947
2024-06-06 15:00:00,NO₂,ppm,3.619
2024-06-06 15:00:00,CO,ppm,0.002
2024-06-06 15:20:00,Temperature,°C,16.1672
2024-06-06 15:20:00,Humidity,%,17.3194
2024-06-06 15:20:00,Pressure,Pa,100376.4817
2024-06-06 15:20:00,PM2.5,ug/m3,7.1306
2024-06-06 15:20:00,PM10,ug/m3,13.1083
2024-06-06 15:20:00,NO₂,ppm,3.5045
2024-06-06 15:20:00,CO,ppm,0.002
2024-06-06 15:40:00,Temperature,°C,16.2227
2024-06-06 15:40:00,Humidity,%,17.6336
2024-06-06 15:40:00,Pressure,Pa,100355.3582
2024-06-06 15:40:00,PM2.5,ug/m3,7.2682
2024-06-06 15:40:00,PM10,ug/m3,13.3009
2024-06-06 15:40:00,NO₂,ppm,2.9807
2024-06-06 15:40:00,CO,ppm,0.002
2024-06-06 16:00:00,Temperature,°C,16.4532
2024-06-06 16:00:00,Humidity,%,17.3037
2024-06-06 16:00:00,Pressure,Pa,100335.8353
2024-06-06 16:00:00,PM2.5,ug/m3,7.5221
2024-06-06 16:00:00,PM10,ug/m3,12.9295
2024-06-06 16:00:00,NO₂,ppm,3.1295
2024-06-06 16:00:00,CO,ppm,0.002
2024-06-06 16:20:00,Temperature,°C,16.7575
2024-06-06 16:20:00,Humidity,%,17.0325
2024-06-06 16:20:00,Pressure,Pa,100326.78
2024-06-06 16:20:00,PM2.5,ug/m3,8.4475
2024-06-06 16:20:00,PM10,ug/m3,16.98
2024-06-06 16:20:00,NO₂,ppm,3.1645
2024-06-06 16:20:00,CO,ppm,0.002
2024-06-07 15:00:00,Temperature,°C,15.9678
2024-06-07 15:00:00,Humidity,%,18.1622
2024-06-07 15:00:00,Pressure,Pa,100337.7989
2024-06-07 15:00:00,PM2.5,ug/m3,12.1344
2024-06-07 15:00:00,PM10,ug/m3,18.6667
2024-06-07 15:00:00,NO₂,ppm,1.2576
2024-06-07 15:00:00,CO,ppm,0.0033
2024-06-07 15:20:00,Temperature,°C,16.8784
2024-06-07 15:20:00,Humidity,%,17.4368
2024-06-07 15:20:00,Pressure,Pa,100320.0247
2024-06-07 15:20:00,PM2.5,ug/m3,11.5711
2024-06-07 15:20:00,PM10,ug/m3,17.4989
2024-06-07 15:20:00,NO₂,ppm,2.1427
2024-06-07 15:20:00,CO,ppm,0.0023
2024-06-07 15:40:00,Temperature,°C,17.807
2024-06-07 15:40:00,Humidity,%,16.672
2024-06-07 15:40:00,Pressure,Pa,100296.4485
2024-06-07 15:40:00,PM2.5,ug/m3,11.461
2024-06-07 15:40:00,PM10,ug/m3,17.3865
2024-06-07 15:40:00,NO₂,ppm,2.4803
2024-06-07 15:40:00,CO,ppm,0.002
2024-06-07 16:00:00,Temperature,°C,18.2947
2024-06-07 16:00:00,Humidity,%,15.6079
2024-06-07 16:00:00,Pressure,Pa,100276.2463
2024-06-07 16:00:00,PM2.5,ug/m3,11.7405
2024-06-07 16:00:00,PM10,ug/m3,17.1968
2024-06-07 16:00:00,NO₂,ppm,2.6976
2024-06-07 16:00:00,CO,ppm,0.002
2024-06-07 16:20:00,Temperature,°C,18.6658
2024-06-07 16:20:00,Humidity,%,14.8368
2024-06-07 16:20:00,Pressure,Pa,100253.6411
2024-06-07 16:20:00,PM2.5,ug/m3,10.6553
2024-06-07 16:20:00,PM10,ug/m3,15.2768
2024-06-07 16:20:00,NO₂,ppm,2.8181
2024-06-07 16:20:00,CO,ppm,0.002
2024-06-07 16:40:00,Temperature,°C,19.014
2024-06-07 16:40:00,Humidity,%,14.6265
2024-06-07 16:40:00,Pressure,Pa,100229.8415
2024-06-07 16:40:00,PM2.5,ug/m3,10.4035
2024-06-07 16:40:00,PM10,ug/m3,15.229
2024-06-07 16:40:00,NO₂,ppm,2.8755
2024-06-07 16:40:00,CO,ppm,0.002
2024-06-07 17:00:00,Temperature,°C,19.4411
2024-06-07 17:00:00,Humidity,%,14.1405
2024-06-07 17:00:00,Pressure,Pa,100204.5247
2024-06-07 17:00:00,PM2.5,ug/m3,9.6858
2024-06-07 17:00:00,PM10,ug/m3,14.5289
2024-06-07 17:00:00,NO₂,ppm,2.8792
2024-06-07 17:00:00,CO,ppm,0.002
2024-06-07 17:20:00,Temperature,°C,19.72
2024-06-07 17:20:00,Humidity,%,13.9418
2024-06-07 17:20:00,Pressure,Pa,100192.4353
2024-06-07 17:20:00,PM2.5,ug/m3,10.0382
2024-06-07 17:20:00,PM10,ug/m3,15.0365
2024-06-07 17:20:00,NO₂,ppm,2.9108
2024-06-07 17:20:00,CO,ppm,0.002
2024-06-07 17:40:00,Temperature,°C,19.8458
2024-06-07 17:40:00,Humidity,%,13.7289
2024-06-07 17:40:00,Pressure,Pa,100185.5663
2024-06-07 17:40:00,PM2.5,ug/m3,9.7679
2024-06-07 17:40:00,PM10,ug/m3,14.8295
2024-06-07 17:40:00,NO₂,ppm,2.9568
2024-06-07 17:40:00,CO,ppm,0.002
2024-06-07 18:00:00,Temperature,°C,20.0547
2024-06-07 18:00:00,Humidity,%,13.4842
2024-06-07 18:00:00,Pressure,Pa,100168.1168
2024-06-07 18:00:00,PM2.5,ug/m3,9.1447
2024-06-07 18:00:00,PM10,ug/m3,13.8421
2024-06-07 18:00:00,NO₂,ppm,2.9588
2024-06-07 18:00:00,CO,ppm,0.002
2024-06-07 18:20:00,Temperature,°C,20.3056
2024-06-07 18:20:00,Humidity,%,13.3461
2024-06-07 18:20:00,Pressure,Pa,100163.665
2024-06-07 18:20:00,PM2.5,ug/m3,10.6128
2024-06-07 18:20:00,PM10,ug/m3,15.5394
2024-06-07 18:20:00,NO₂,ppm,2.9624
2024-06-07 18:20:00,CO,ppm,0.002
2024-06-07 18:40:00,Temperature,°C,20.0774
2024-06-07 18:40:00,Humidity,%,13.5432
2024-06-07 18:40:00,Pressure,Pa,100146.4221
2024-06-07 18:40:00,PM2.5,ug/m3,12.6521
2024-06-07 18:40:00,PM10,ug/m3,17.0768
2024-06-07 18:40:00,NO₂,ppm,3.0544
2024-06-07 18:40:00,CO,ppm,0.002
2024-06-07 19:00:00,Temperature,°C,20.0667
2024-06-07 19:00:00,Humidity,%,13.69
2024-06-07 19:00:00,Pressure,Pa,100146.7117
2024-06-07 19:00:00,PM2.5,ug/m3,12.5818
2024-06-07 19:00:00,PM10,ug/m3,17.7512
2024-06-07 19:00:00,NO₂,ppm,3.0513
2024-06-07 19:00:00,CO,ppm,0.002
2024-06-07 19:20:00,Temperature,°C,19.8258
2024-06-07 19:20:00,Humidity,%,14.1421
2024-06-07 19:20:00,Pressure,Pa,100139.7858
2024-06-07 19:20:00,PM2.5,ug/m3,12.1042
2024-06-07 19:20:00,PM10,ug/m3,17.2221
2024-06-07 19:20:00,NO₂,ppm,3.1131
2024-06-07 19:20:00,CO,ppm,0.002
2024-06-07 19:40:00,Temperature,°C,19.6937
2024-06-07 19:40:00,Humidity,%,15.2395
2024-06-07 19:40:00,Pressure,Pa,100134.98
2024-06-07 19:40:00,PM2.5,ug/m3,10.4653
2024-06-07 19:40:00,PM10,ug/m3,15.9726
2024-06-07 19:40:00,NO₂,ppm,3.1048
2024-06-07 19:40:00,CO,ppm,0.002
2024-06-07 20:00:00,Temperature,°C,19.4963
2024-06-07 20:00:00,Humidity,%,15.3247
2024-06-07 20:00:00,Pressure,Pa,100133.8353
2024-06-07 20:00:00,PM2.5,ug/m3,10.0768
2024-06-07 20:00:00,PM10,ug/m3,15.4805
2024-06-07 20:00:00,NO₂,ppm,3.1333
2024-06-07 20:00:00,CO,ppm,0.002
2024-06-07 20:20:00,Temperature,°C,18.9642
2024-06-07 20:20:00,Humidity,%,15.6058
2024-06-07 20:20:00,Pressure,Pa,100131.6232
2024-06-07 20:20:00,PM2.5,ug/m3,9.9289
2024-06-07 20:20:00,PM10,ug/m3,16.4605
2024-06-07 20:20:00,NO₂,ppm,3.2384
2024-06-07 20:20:00,CO,ppm,0.002
2024-06-07 20:40:00,Temperature,°C,18.4842
2024-06-07 20:40:00,Humidity,%,16.1963
2024-06-07 20:40:00,Pressure,Pa,100136.9405
2024-06-07 20:40:00,PM2.5,ug/m3,9.2442
2024-06-07 20:40:00,PM10,ug/m3,14.5963
2024-06-07 20:40:00,NO₂,ppm,3.3039
2024-06-07 20:40:00,CO,ppm,0.002
2024-06-07 21:00:00,Temperature,°C,17.9711
2024-06-07 21:00:00,Humidity,%,16.1289
2024-06-07 21:00:00,Pressure,Pa,100150.7242
2024-06-07 21:00:00,PM2.5,ug/m3,9.0632
2024-06-07 21:00:00,PM10,ug/m3,14.48
2024-06-07 21:00:00,NO₂,ppm,3.4036
2024-06-07 21:00:00,CO,ppm,0.002
2024-06-07 21:20:00,Temperature,°C,17.3772
2024-06-07 21:20:00,Humidity,%,16.6528
2024-06-07 21:20:00,Pressure,Pa,100157.5228
2024-06-07 21:20:00,PM2.5,ug/m3,9.5117
2024-06-07 21:20:00,PM10,ug/m3,15.5828
2024-06-07 21:20:00,NO₂,ppm,3.5209
2024-06-07 21:20:00,CO,ppm,0.002
2024-06-07 21:40:00,Temperature,°C,16.5633
2024-06-07 21:40:00,Humidity,%,17.9661
2024-06-07 21:40:00,Pressure,Pa,100162.4217
2024-06-07 21:40:00,PM2.5,ug/m3,10.8222
2024-06-07 21:40:00,PM10,ug/m3,17.8311
2024-06-07 21:40:00,NO₂,ppm,3.6792
2024-06-07 21:40:00,CO,ppm,0.002
2024-06-07 22:00:00,Temperature,°C,15.52
2024-06-07 22:00:00,Humidity,%,20.0121
2024-06-07 22:00:00,Pressure,Pa,100172.1805
2024-06-07 22:00:00,PM2.5,ug/m3,13.6453
2024-06-07 22:00:00,PM10,ug/m3,25.3811
2024-06-07 22:00:00,NO₂,ppm,3.8577
2024-06-07 22:00:00,CO,ppm,0.002
2024-06-07 22:20:00,Temperature,°C,14.6778
2024-06-07 22:20:00,Humidity,%,22.7011
2024-06-07 22:20:00,Pressure,Pa,100173.5967
2024-06-07 22:20:00,PM2.5,ug/m3,17.5856
2024-06-07 22:20:00,PM10,ug/m3,32.5661
2024-06-07 22:20:00,NO₂,ppm,3.8745
2024-06-07 22:20:00,CO,ppm,0.002
2024-06-07 22:40:00,Temperature,°C,13.9217
2024-06-07 22:40:00,Humidity,%,24.0911
2024-06-07 22:40:00,Pressure,Pa,100174.1167
2024-06-07 22:40:00,PM2.5,ug/m3,22.4633
2024-06-07 22:40:00,PM10,ug/m3,37.8311
2024-06-07 22:40:00,NO₂,ppm,3.9185
2024-06-07 22:40:00,CO,ppm,0.002
2024-06-07 23:00:00,Temperature,°C,13.1183
2024-06-07 23:00:00,Humidity,%,25.4456
2024-06-07 23:00:00,Pressure,Pa,100171.1383
2024-06-07 23:00:00,PM2.5,ug/m3,24.2565
2024-06-07 23:00:00,PM10,ug/m3,37.6265
2024-06-07 23:00:00,NO₂,ppm,4.0073
2024-06-07 23:00:00,CO,ppm,0.002
2024-06-07 23:20:00,Temperature,°C,12.4767
2024-06-07 23:20:00,Humidity,%,26.6394
2024-06-07 23:20:00,Pressure,Pa,100167.3939
2024-06-07 23:20:00,PM2.5,ug/m3,24.1489
2024-06-07 23:20:00,PM10,ug/m3,37.8361
2024-06-07 23:20:00,NO₂,ppm,4.0525
2024-06-07 23:20:00,CO,ppm,0.002
2024-06-07 23:40:00,Temperature,°C,11.9684
2024-06-07 23:40:00,Humidity,%,27.8153
2024-06-07 23:40:00,Pressure,Pa,100163.7784
2024-06-07 23:40:00,PM2.5,ug/m3,26.0558
2024-06-07 23:40:00,PM10,ug/m3,41.8316
2024-06-07 23:40:00,NO₂,ppm,4.0693
2024-06-07 23:40:00,CO,ppm,0.002
2024-06-08 00:00:00,Temperature,°C,11.4616
2024-06-08 00:00:00,Humidity,%,29.0895
2024-06-08 00:00:00,Pressure,Pa,100165.0989
2024-06-08 00:00:00,PM2.5,ug/m3,26.3516
2024-06-08 00:00:00,PM10,ug/m3,41.8616
2024-06-08 00:00:00,NO₂,ppm,4.1232
2024-06-08 00:00:00,CO,ppm,0.002
2024-06-08 00:20:00,Temperature,°C,10.9811
2024-06-08 00:20:00,Humidity,%,30.15
2024-06-08 00:20:00,Pressure,Pa,100169.8822
2024-06-08 00:20:00,PM2.5,ug/m3,28.8028
2024-06-08 00:20:00,PM10,ug/m3,47.95
2024-06-08 00:20:00,NO₂,ppm,4.1509
2024-06-08 00:20:00,CO,ppm,0.002
2024-06-08 00:40:00,Temperature,°C,10.5078
2024-06-08 00:40:00,Humidity,%,31.5361
2024-06-08 00:40:00,Pressure,Pa,100170.4461
2024-06-08 00:40:00,PM2.5,ug/m3,32.3017
2024-06-08 00:40:00,PM10,ug/m3,52.9889
2024-06-08 00:40:00,NO₂,ppm,4.169
2024-06-08 00:40:00,CO,ppm,0.002
2024-06-08 01:00:00,Temperature,°C,10.005
2024-06-08 01:00:00,Humidity,%,32.7689
2024-06-08 01:00:00,Pressure,Pa,100179.3739
2024-06-08 01:00:00,PM2.5,ug/m3,33.9506
2024-06-08 01:00:00,PM10,ug/m3,51.62
2024-06-08 01:00:00,NO₂,ppm,4.2141
2024-06-08 01:00:00,CO,ppm,0.002
2024-06-08 01:20:00,Temperature,°C,9.5286
2024-06-08 01:20:00,Humidity,%,34.0229
2024-06-08 01:20:00,Pressure,Pa,100183.7579
2024-06-08 01:20:00,PM2.5,ug/m3,35.0323
2024-06-08 01:20:00,PM10,ug/m3,52.9838
2024-06-08 01:20:00,NO₂,ppm,4.2433
2024-06-08 01:20:00,CO,ppm,0.002
2024-06-08 01:40:00,Temperature,°C,9.2233
2024-06-08 01:40:00,Humidity,%,34.6273
2024-06-08 01:40:00,Pressure,Pa,100186.3547
2024-06-08 01:40:00,PM2.5,ug/m3,36.2627
2024-06-08 01:40:00,PM10,ug/m3,53.6307
2024-06-08 01:40:00,NO₂,ppm,4.259
2024-06-08 01:40:00,CO,ppm,0.002
2024-06-08 02:00:00,Temperature,°C,8.9724
2024-06-08 02:00:00,Humidity,%,35.4947
2024-06-08 02:00:00,Pressure,Pa,100189.5618
2024-06-08 02:00:00,PM2.5,ug/m3,37.0935
2024-06-08 02:00:00,PM10,ug/m3,55.7729
2024-06-08 02:00:00,NO₂,ppm,4.2934
2024-06-08 02:00:00,CO,ppm,0.002
2024-06-08 02:20:00,Temperature,°C,8.4971
2024-06-08 02:20:00,Humidity,%,36.6141
2024-06-08 02:20:00,Pressure,Pa,100180.7594
2024-06-08 02:20:00,PM2.5,ug/m3,37.0435
2024-06-08 02:20:00,PM10,ug/m3,54.0782
2024-06-08 02:20:00,NO₂,ppm,4.3133
2024-06-08 02:20:00,CO,ppm,0.002
2024-06-08 02:40:00,Temperature,°C,8.2483
2024-06-08 02:40:00,Humidity,%,37.0294
2024-06-08 02:40:00,Pressure,Pa,100175.5272
2024-06-08 02:40:00,PM2.5,ug/m3,33.5044
2024-06-08 02:40:00,PM10,ug/m3,48.6467
2024-06-08 02:40:00,NO₂,ppm,4.3548
2024-06-08 02:40:00,CO,ppm,0.002
2024-06-08 03:00:00,Temperature,°C,8.0094
2024-06-08 03:00:00,Humidity,%,37.1912
2024-06-08 03:00:00,Pressure,Pa,100171.0853
2024-06-08 03:00:00,PM2.5,ug/m3,30.6488
2024-06-08 03:00:00,PM10,ug/m3,45.65
2024-06-08 03:00:00,NO₂,ppm,4.3839
2024-06-08 03:00:00,CO,ppm,0.002
2024-06-08 03:20:00,Temperature,°C,7.666
2024-06-08 03:20:00,Humidity,%,37.71
2024-06-08 03:20:00,Pressure,Pa,100165.3607
2024-06-08 03:20:00,PM2.5,ug/m3,27.9979
2024-06-08 03:20:00,PM10,ug/m3,42.0493
2024-06-08 03:20:00,NO₂,ppm,4.4249
2024-06-08 03:20:00,CO,ppm,0.002
2024-06-08 03:40:00,Temperature,°C,7.435
2024-06-08 03:40:00,Humidity,%,38.0419
2024-06-08 03:40:00,Pressure,Pa,100165.6844
2024-06-08 03:40:00,PM2.5,ug/m3,26.5556
2024-06-08 03:40:00,PM10,ug/m3,40.0212
2024-06-08 03:40:00,NO₂,ppm,4.4639
2024-06-08 03:40:00,CO,ppm,0.002
2024-06-08 04:00:00,Temperature,°C,6.7556
2024-06-08 04:00:00,Humidity,%,38.7606
2024-06-08 04:00:00,Pressure,Pa,100168.3575
2024-06-08 04:00:00,PM2.5,ug/m3,21.8931
2024-06-08 04:00:00,PM10,ug/m3,32.2944
2024-06-08 04:00:00,NO₂,ppm,4.6267
2024-06-08 04:00:00,CO,ppm,0.002
2024-06-08 04:20:00,Temperature,°C,6.2036
2024-06-08 04:20:00,Humidity,%,39.7521
2024-06-08 04:20:00,Pressure,Pa,100159.2429
2024-06-08 04:20:00,PM2.5,ug/m3,20.5977
2024-06-08 04:20:00,PM10,ug/m3,32.0477
2024-06-08 04:20:00,NO₂,ppm,4.6825
2024-06-08 04:20:00,CO,ppm,0.002
2024-06-08 04:40:00,Temperature,°C,5.9712
2024-06-08 04:40:00,Humidity,%,40.8244
2024-06-08 04:40:00,Pressure,Pa,100152.1194
2024-06-08 04:40:00,PM2.5,ug/m3,22.9538
2024-06-08 04:40:00,PM10,ug/m3,34.0756
2024-06-08 04:40:00,NO₂,ppm,4.7238
2024-06-08 04:40:00,CO,ppm,0.002
2024-06-08 05:00:00,Temperature,°C,5.9707
2024-06-08 05:00:00,Humidity,%,40.2913
2024-06-08 05:00:00,Pressure,Pa,100141.72
2024-06-08 05:00:00,PM2.5,ug/m3,19.8887
2024-06-08 05:00:00,PM10,ug/m3,30.4833
2024-06-08 05:00:00,NO₂,ppm,4.676
2024-06-08 05:00:00,CO,ppm,0.002
2024-06-08 05:20:00,Temperature,°C,5.9187
2024-06-08 05:20:00,Humidity,%,40.3287
2024-06-08 05:20:00,Pressure,Pa,100129.138
2024-06-08 05:20:00,PM2.5,ug/m3,19.5707
2024-06-08 05:20:00,PM10,ug/m3,28.362
2024-06-08 05:20:00,NO₂,ppm,4.6612
2024-06-08 05:20:00,CO,ppm,0.002
2024-06-08 05:40:00,Temperature,°C,5.7747
2024-06-08 05:40:00,Humidity,%,40.6993
2024-06-08 05:40:00,Pressure,Pa,100122.0747
2024-06-08 05:40:00,PM2.5,ug/m3,20.068
2024-06-08 05:40:00,PM10,ug/m3,29.9973
2024-06-08 05:40:00,NO₂,ppm,4.6995
2024-06-08 05:40:00,CO,ppm,0.002
2024-06-08 06:00:00,Temperature,°C,5.5182
2024-06-08 06:00:00,Humidity,%,41.3171
2024-06-08 06:00:00,Pressure,Pa,100129.7794
2024-06-08 06:00:00,PM2.5,ug/m3,19.0476
2024-06-08 06:00:00,PM10,ug/m3,27.7929
2024-06-08 06:00:00,NO₂,ppm,4.751
2024-06-08 06:00:00,CO,ppm,0.002
2024-06-08 06:20:00,Temperature,°C,5.2393
2024-06-08 06:20:00,Humidity,%,41.7387
2024-06-08 06:20:00,Pressure,Pa,100132.1027
2024-06-08 06:20:00,PM2.5,ug/m3,18.8673
2024-06-08 06:20:00,PM10,ug/m3,28.7733
2024-06-08 06:20:00,NO₂,ppm,4.8102
2024-06-08 06:20:00,CO,ppm,0.002
2024-06-08 06:40:00,Temperature,°C,5.0047
2024-06-08 06:40:00,Humidity,%,42.2082
2024-06-08 06:40:00,Pressure,Pa,100135.1947
2024-06-08 06:40:00,PM2.5,ug/m3,17.4824
2024-06-08 06:40:00,PM10,ug/m3,25.33
2024-06-08 06:40:00,NO₂,ppm,4.8459
2024-06-08 06:40:00,CO,ppm,0.002
2024-06-08 07:00:00,Temperature,°C,4.895
2024-06-08 07:00:00,Humidity,%,42.7162
2024-06-08 07:00:00,Pressure,Pa,100133.565
2024-06-08 07:00:00,PM2.5,ug/m3,17.8944
2024-06-08 07:00:00,PM10,ug/m3,26.8531
2024-06-08 07:00:00,NO₂,ppm,4.8549
2024-06-08 07:00:00,CO,ppm,0.002
2024-06-08 07:20:00,Temperature,°C,4.75
2024-06-08 07:20:00,Humidity,%,43.4535
2024-06-08 07:20:00,Pressure,Pa,100138.3953
2024-06-08 07:20:00,PM2.5,ug/m3,18.3741
2024-06-08 07:20:00,PM10,ug/m3,28.5953
2024-06-08 07:20:00,NO₂,ppm,4.8921
2024-06-08 07:20:00,CO,ppm,0.002
2024-06-08 07:40:00,Temperature,°C,4.7024
2024-06-08 07:40:00,Humidity,%,43.4776
2024-06-08 07:40:00,Pressure,Pa,100145.1741
2024-06-08 07:40:00,PM2.5,ug/m3,19.6571
2024-06-08 07:40:00,PM10,ug/m3,30.67
2024-06-08 07:40:00,NO₂,ppm,4.9266
2024-06-08 07:40:00,CO,ppm,0.002
2024-06-08 08:00:00,Temperature,°C,4.715
2024-06-08 08:00:00,Humidity,%,43.7528
2024-06-08 08:00:00,Pressure,Pa,100144.3511
2024-06-08 08:00:00,PM2.5,ug/m3,20.3617
2024-06-08 08:00:00,PM10,ug/m3,31.3472
2024-06-08 08:00:00,NO₂,ppm,4.912
2024-06-08 08:00:00,CO,ppm,0.002
2024-06-08 08:20:00,Temperature,°C,5.0116
2024-06-08 08:20:00,Humidity,%,43.0021
2024-06-08 08:20:00,Pressure,Pa,100146.8816
2024-06-08 08:20:00,PM2.5,ug/m3,20.8674
2024-06-08 08:20:00,PM10,ug/m3,34.5516
2024-06-08 08:20:00,NO₂,ppm,4.8713
2024-06-08 08:20:00,CO,ppm,0.002
2024-06-08 08:40:00,Temperature,°C,5.3126
2024-06-08 08:40:00,Humidity,%,42.1674
2024-06-08 08:40:00,Pressure,Pa,100150.2342
2024-06-08 08:40:00,PM2.5,ug/m3,22.2121
2024-06-08 08:40:00,PM10,ug/m3,36.4616
2024-06-08 08:40:00,NO₂,ppm,4.7757
2024-06-08 08:40:00,CO,ppm,0.002
2024-06-08 09:00:00,Temperature,°C,5.7368
2024-06-08 09:00:00,Humidity,%,41.3105
2024-06-08 09:00:00,Pressure,Pa,100140.0542
2024-06-08 09:00:00,PM2.5,ug/m3,21.3353
2024-06-08 09:00:00,PM10,ug/m3,34.1542
2024-06-08 09:00:00,NO₂,ppm,4.736
2024-06-08 09:00:00,CO,ppm,0.002
2024-06-08 09:20:00,Temperature,°C,6.2218
2024-06-08 09:20:00,Humidity,%,40.0759
2024-06-08 09:20:00,Pressure,Pa,100122.5659
2024-06-08 09:20:00,PM2.5,ug/m3,21.0759
2024-06-08 09:20:00,PM10,ug/m3,35.6965
2024-06-08 09:20:00,NO₂,ppm,4.6933
2024-06-08 09:20:00,CO,ppm,0.002
2024-06-08 09:40:00,Temperature,°C,6.8158
2024-06-08 09:40:00,Humidity,%,39.3484
2024-06-08 09:40:00,Pressure,Pa,100104.3937
2024-06-08 09:40:00,PM2.5,ug/m3,20.67
2024-06-08 09:40:00,PM10,ug/m3,34.0395
2024-06-08 09:40:00,NO₂,ppm,4.5818
2024-06-08 09:40:00,CO,ppm,0.002
2024-06-08 10:00:00,Temperature,°C,7.5684
2024-06-08 10:00:00,Humidity,%,38.2037
2024-06-08 10:00:00,Pressure,Pa,100106.8758
2024-06-08 10:00:00,PM2.5,ug/m3,21.9258
2024-06-08 10:00:00,PM10,ug/m3,34.0158
2024-06-08 10:00:00,NO₂,ppm,4.4881
2024-06-08 10:00:00,CO,ppm,0.002
2024-06-08 10:20:00,Temperature,°C,8.5147
2024-06-08 10:20:00,Humidity,%,36.7642
2024-06-08 10:20:00,Pressure,Pa,100113.4095
2024-06-08 10:20:00,PM2.5,ug/m3,22.5032
2024-06-08 10:20:00,PM10,ug/m3,34.8079
2024-06-08 10:20:00,NO₂,ppm,4.3875
2024-06-08 10:20:00,CO,ppm,0.002
2024-06-08 10:40:00,Temperature,°C,9.4042
2024-06-08 10:40:00,Humidity,%,35.9016
2024-06-08 10:40:00,Pressure,Pa,100102.7137
2024-06-08 10:40:00,PM2.5,ug/m3,28.6589
2024-06-08 10:40:00,PM10,ug/m3,45.1579
2024-06-08 10:40:00,NO₂,ppm,4.2504
2024-06-08 10:40:00,CO,ppm,0.002
2024-06-08 11:00:00,Temperature,°C,10.5295
2024-06-08 11:00:00,Humidity,%,34.9879
2024-06-08 11:00:00,Pressure,Pa,100095.7989
2024-06-08 11:00:00,PM2.5,ug/m3,31.0463
2024-06-08 11:00:00,PM10,ug/m3,48.1958
2024-06-08 11:00:00,NO₂,ppm,4.144
2024-06-08 11:00:00,CO,ppm,0.002
2024-06-08 11:20:00,Temperature,°C,11.78
2024-06-08 11:20:00,Humidity,%,33.9042
2024-06-08 11:20:00,Pressure,Pa,100075.4789
2024-06-08 11:20:00,PM2.5,ug/m3,25.7505
2024-06-08 11:20:00,PM10,ug/m3,47.5968
2024-06-08 11:20:00,NO₂,ppm,3.9127
2024-06-08 11:20:00,CO,ppm,0.002
2024-06-08 11:40:00,Temperature,°C,13.1395
2024-06-08 11:40:00,Humidity,%,32.1942
2024-06-08 11:40:00,Pressure,Pa,100058.1505
2024-06-08 11:40:00,PM2.5,ug/m3,21.6111
2024-06-08 11:40:00,PM10,ug/m3,43.6963
2024-06-08 11:40:00,NO₂,ppm,3.7711
2024-06-08 11:40:00,CO,ppm,0.002
2024-06-08 12:00:00,Temperature,°C,14.3795
2024-06-08 12:00:00,Humidity,%,27.9985
2024-06-08 12:00:00,Pressure,Pa,100029.5095
2024-06-08 12:00:00,PM2.5,ug/m3,11.9016
2024-06-08 12:00:00,PM10,ug/m3,19.5705
2024-06-08 12:00:00,NO₂,ppm,3.6262
2024-06-08 12:00:00,CO,ppm,0.002
2024-06-08 12:20:00,Temperature,°C,15.4433
2024-06-08 12:20:00,Humidity,%,22.8783
2024-06-08 12:20:00,Pressure,Pa,100002.1922
2024-06-08 12:20:00,PM2.5,ug/m3,8.0906
2024-06-08 12:20:00,PM10,ug/m3,13.3161
2024-06-08 12:20:00,NO₂,ppm,3.6272
2024-06-08 12:20:00,CO,ppm,0.002
2024-06-08 12:40:00,Temperature,°C,16.3975
2024-06-08 12:40:00,Humidity,%,20.2025
2024-06-08 12:40:00,Pressure,Pa,99978.0775
2024-06-08 12:40:00,PM2.5,ug/m3,8.115
2024-06-08 12:40:00,PM10,ug/m3,13.2695
2024-06-08 12:40:00,NO₂,ppm,3.6008
2024-06-08 12:40:00,CO,ppm,0.002
2024-06-08 13:00:00,Temperature,°C,17.0689
2024-06-08 13:00:00,Humidity,%,18.5668
2024-06-08 13:00:00,Pressure,Pa,99952.2605
2024-06-08 13:00:00,PM2.5,ug/m3,8.2832
2024-06-08 13:00:00,PM10,ug/m3,13.6837
2024-06-08 13:00:00,NO₂,ppm,3.546
2024-06-08 13:00:00,CO,ppm,0.002
2024-06-08 13:20:00,Temperature,°C,17.7179
2024-06-08 13:20:00,Humidity,%,17.7547
2024-06-08 13:20:00,Pressure,Pa,99922.9932
2024-06-08 13:20:00,PM2.5,ug/m3,8.2995
