datetime,indicator_name,indicator_dimension,value
2024-06-02 22:40:00,Humidity,%,23.9889
2024-06-02 22:40:00,Pressure,Pa,98255.2017
2024-06-02 22:40:00,PM2.5,ug/m3,16.6122
2024-06-02 22:40:00,PM10,ug/m3,27.44
2024-06-02 22:40:00,NO₂,ppm,3.277
2024-06-02 22:40:00,CO,ppm,0.003
2024-06-02 23:00:00,Temperature,°C,6.1867
2024-06-02 23:00:00,Humidity,%,24.8028
2024-06-02 23:00:00,Pressure,Pa,98252.6344
2024-06-02 23:00:00,PM2.5,ug/m3,16.5394
2024-06-02 23:00:00,PM10,ug/m3,27.1794
2024-06-02 23:00:00,NO₂,ppm,3.3344
2024-06-02 23:00:00,CO,ppm,0.003
2024-06-02 23:20:00,Temperature,°C,5.8688
2024-06-02 23:20:00,Humidity,%,25.41
2024-06-02 23:20:00,Pressure,Pa,98254.0065
2024-06-02 23:20:00,PM2.5,ug/m3,16.6818
2024-06-02 23:20:00,PM10,ug/m3,26.4259
2024-06-02 23:20:00,NO₂,ppm,3.3717
2024-06-02 23:20:00,CO,ppm,0.003
2024-06-02 23:40:00,Temperature,°C,5.5872
2024-06-02 23:40:00,Humidity,%,26.1039
2024-06-02 23:40:00,Pressure,Pa,98243.53
2024-06-02 23:40:00,PM2.5,ug/m3,14.1961
2024-06-02 23:40:00,PM10,ug/m3,23.2439
2024-06-02 23:40:00,NO₂,ppm,3.421
2024-06-02 23:40:00,CO,ppm,0.003
2024-06-03 00:00:00,Temperature,°C,5.0926
2024-06-03 00:00:00,Humidity,%,27.2211
2024-06-03 00:00:00,Pressure,Pa,98228.0716
2024-06-03 00:00:00,PM2.5,ug/m3,14.2579
2024-06-03 00:00:00,PM10,ug/m3,24.2
2024-06-03 00:00:00,NO₂,ppm,3.5004
2024-06-03 00:00:00,CO,ppm,0.003
2024-06-03 00:20:00,Temperature,°C,4.8683
2024-06-03 00:20:00,Humidity,%,28.5189
2024-06-03 00:20:00,Pressure,Pa,98217.5367
2024-06-03 00:20:00,PM2.5,ug/m3,18.1644
2024-06-03 00:20:00,PM10,ug/m3,31.9728
2024-06-03 00:20:00,NO₂,ppm,3.5407
2024-06-03 00:20:00,CO,ppm,0.003
2024-06-03 00:40:00,Temperature,°C,4.4468
2024-06-03 00:40:00,Humidity,%,30.3968
2024-06-03 00:40:00,Pressure,Pa,98216.3047
2024-06-03 00:40:00,PM2.5,ug/m3,32.1732
2024-06-03 00:40:00,PM10,ug/m3,65.3389
2024-06-03 00:40:00,NO₂,ppm,3.5941
2024-06-03 00:40:00,CO,ppm,0.003
2024-06-03 01:00:00,Temperature,°C,4.1579
2024-06-03 01:00:00,Humidity,%,32.7816
2024-06-03 01:00:00,Pressure,Pa,98214.3463
2024-06-03 01:00:00,PM2.5,ug/m3,45.6884
2024-06-03 01:00:00,PM10,ug/m3,94.8584
2024-06-03 01:00:00,NO₂,ppm,3.5653
2024-06-03 01:00:00,CO,ppm,0.003
2024-06-03 01:20:00,Temperature,°C,3.7669
2024-06-03 01:20:00,Humidity,%,34.0881
2024-06-03 01:20:00,Pressure,Pa,98204.9469
2024-06-03 01:20:00,PM2.5,ug/m3,48.5487
2024-06-03 01:20:00,PM10,ug/m3,101.7719
2024-06-03 01:20:00,NO₂,ppm,3.6353
2024-06-03 01:20:00,CO,ppm,0.003
2024-06-03 01:40:00,Temperature,°C,3.4806
2024-06-03 01:40:00,Humidity,%,34.6288
2024-06-03 01:40:00,Pressure,Pa,98198.5476
2024-06-03 01:40:00,PM2.5,ug/m3,38.2453
2024-06-03 01:40:00,PM10,ug/m3,72.8841
2024-06-03 01:40:00,NO₂,ppm,3.6406
2024-06-03 01:40:00,CO,ppm,0.003
2024-06-03 02:00:00,Temperature,°C,3.0363
2024-06-03 02:00:00,Humidity,%,35.8874
2024-06-03 02:00:00,Pressure,Pa,98202.6116
2024-06-03 02:00:00,PM2.5,ug/m3,48.1437
2024-06-03 02:00:00,PM10,ug/m3,97.2142
2024-06-03 02:00:00,NO₂,ppm,3.7392
2024-06-03 02:00:00,CO,ppm,0.003
2024-06-03 02:20:00,Temperature,°C,2.0038
2024-06-03 02:20:00,Humidity,%,38.1156
2024-06-03 02:20:00,Pressure,Pa,98196.3406
2024-06-03 02:20:00,PM2.5,ug/m3,65.4712
2024-06-03 02:20:00,PM10,ug/m3,125.6019
2024-06-03 02:20:00,NO₂,ppm,3.8541
2024-06-03 02:20:00,CO,ppm,0.003
2024-06-03 02:40:00,Temperature,°C,1.9558
2024-06-03 02:40:00,Humidity,%,38.22
2024-06-03 02:40:00,Pressure,Pa,98181.4579
2024-06-03 02:40:00,PM2.5,ug/m3,32.2326
2024-06-03 02:40:00,PM10,ug/m3,57.4511
2024-06-03 02:40:00,NO₂,ppm,3.8183
2024-06-03 02:40:00,CO,ppm,0.003
2024-06-03 03:00:00,Temperature,°C,2.1644
2024-06-03 03:00:00,Humidity,%,38.0022
2024-06-03 03:00:00,Pressure,Pa,98171.0344
2024-06-03 03:00:00,PM2.5,ug/m3,31.6294
2024-06-03 03:00:00,PM10,ug/m3,59.6256
2024-06-03 03:00:00,NO₂,ppm,3.7845
2024-06-03 03:00:00,CO,ppm,0.003
2024-06-03 03:20:00,Temperature,°C,1.842
2024-06-03 03:20:00,Humidity,%,40.452
2024-06-03 03:20:00,Pressure,Pa,98165.0767
2024-06-03 03:20:00,PM2.5,ug/m3,30.382
2024-06-03 03:20:00,PM10,ug/m3,56.208
2024-06-03 03:20:00,NO₂,ppm,3.7956
2024-06-03 03:20:00,CO,ppm,0.003
2024-06-03 03:40:00,Temperature,°C,1.5743
2024-06-03 03:40:00,Humidity,%,41.2057
2024-06-03 03:40:00,Pressure,Pa,98162.2136
2024-06-03 03:40:00,PM2.5,ug/m3,30.7986
2024-06-03 03:40:00,PM10,ug/m3,55.7507
2024-06-03 03:40:00,NO₂,ppm,3.8339
2024-06-03 03:40:00,CO,ppm,0.003
2024-06-03 04:00:00,Temperature,°C,1.4447
2024-06-03 04:00:00,Humidity,%,41.7759
2024-06-03 04:00:00,Pressure,Pa,98166.4435
2024-06-03 04:00:00,PM2.5,ug/m3,31.1665
2024-06-03 04:00:00,PM10,ug/m3,58.6812
2024-06-03 04:00:00,NO₂,ppm,3.8765
2024-06-03 04:00:00,CO,ppm,0.003
2024-06-03 04:20:00,Temperature,°C,1.0827
2024-06-03 04:20:00,Humidity,%,42.9167
2024-06-03 04:20:00,Pressure,Pa,98160.7107
2024-06-03 04:20:00,PM2.5,ug/m3,30.7314
2024-06-03 04:20:00,PM10,ug/m3,56.0936
2024-06-03 04:20:00,NO₂,ppm,3.9288
2024-06-03 04:20:00,CO,ppm,0.003
2024-06-03 04:40:00,Temperature,°C,0.9682
2024-06-03 04:40:00,Humidity,%,42.1371
2024-06-03 04:40:00,Pressure,Pa,98157.84
2024-06-03 04:40:00,PM2.5,ug/m3,28.2638
2024-06-03 04:40:00,PM10,ug/m3,52.0862
2024-06-03 04:40:00,NO₂,ppm,3.9698
2024-06-03 04:40:00,CO,ppm,0.0028
2024-06-03 05:00:00,Temperature,°C,0.5712
2024-06-03 05:00:00,Humidity,%,42.9859
2024-06-03 05:00:00,Pressure,Pa,98157.8965
2024-06-03 05:00:00,PM2.5,ug/m3,26.4482
2024-06-03 05:00:00,PM10,ug/m3,47.0682
2024-06-03 05:00:00,NO₂,ppm,4.0345
2024-06-03 05:00:00,CO,ppm,0.002
2024-06-03 05:20:00,Temperature,°C,0.37
2024-06-03 05:20:00,Humidity,%,43.5164
2024-06-03 05:20:00,Pressure,Pa,98163.905
2024-06-03 05:20:00,PM2.5,ug/m3,27.4443
2024-06-03 05:20:00,PM10,ug/m3,50.4121
2024-06-03 05:20:00,NO₂,ppm,4.0524
2024-06-03 05:20:00,CO,ppm,0.0021
2024-06-03 05:40:00,Temperature,°C,-0.0194
2024-06-03 05:40:00,Humidity,%,45.1581
2024-06-03 05:40:00,Pressure,Pa,98170.7844
2024-06-03 05:40:00,PM2.5,ug/m3,35.2419
2024-06-03 05:40:00,PM10,ug/m3,64.8419
2024-06-03 05:40:00,NO₂,ppm,4.144
2024-06-03 05:40:00,CO,ppm,0.0023
2024-06-03 06:00:00,Temperature,°C,-0.4389
2024-06-03 06:00:00,Humidity,%,47.2442
2024-06-03 06:00:00,Pressure,Pa,98176.5047
2024-06-03 06:00:00,PM2.5,ug/m3,24.6716
2024-06-03 06:00:00,PM10,ug/m3,43.2653
2024-06-03 06:00:00,NO₂,ppm,4.2294
2024-06-03 06:00:00,CO,ppm,0.002
2024-06-03 06:20:00,Temperature,°C,-0.6028
2024-06-03 06:20:00,Humidity,%,47.8983
2024-06-03 06:20:00,Pressure,Pa,98177.6683
2024-06-03 06:20:00,PM2.5,ug/m3,24.2728
2024-06-03 06:20:00,PM10,ug/m3,42.9311
2024-06-03 06:20:00,NO₂,ppm,4.1985
2024-06-03 06:20:00,CO,ppm,0.002
2024-06-03 06:40:00,Temperature,°C,-0.43
2024-06-03 06:40:00,Humidity,%,48.1968
2024-06-03 06:40:00,Pressure,Pa,98179.7753
2024-06-03 06:40:00,PM2.5,ug/m3,27.1205
2024-06-03 06:40:00,PM10,ug/m3,51.4858
2024-06-03 06:40:00,NO₂,ppm,4.2002
2024-06-03 06:40:00,CO,ppm,0.002
2024-06-03 07:00:00,Temperature,°C,-0.3695
2024-06-03 07:00:00,Humidity,%,47.7579
2024-06-03 07:00:00,Pressure,Pa,98184.2968
2024-06-03 07:00:00,PM2.5,ug/m3,20.58
2024-06-03 07:00:00,PM10,ug/m3,37.1479
2024-06-03 07:00:00,NO₂,ppm,4.1602
2024-06-03 07:00:00,CO,ppm,0.002
2024-06-03 07:20:00,Temperature,°C,-0.4905
2024-06-03 07:20:00,Humidity,%,48.0847
2024-06-03 07:20:00,Pressure,Pa,98188.8658
2024-06-03 07:20:00,PM2.5,ug/m3,20.2174
2024-06-03 07:20:00,PM10,ug/m3,36.0342
2024-06-03 07:20:00,NO₂,ppm,4.222
2024-06-03 07:20:00,CO,ppm,0.002
2024-06-03 07:40:00,Temperature,°C,-0.5495
2024-06-03 07:40:00,Humidity,%,48.9958
2024-06-03 07:40:00,Pressure,Pa,98205.8847
2024-06-03 07:40:00,PM2.5,ug/m3,19.8221
2024-06-03 07:40:00,PM10,ug/m3,37.0858
2024-06-03 07:40:00,NO₂,ppm,4.2377
2024-06-03 07:40:00,CO,ppm,0.002
2024-06-03 08:00:00,Temperature,°C,-0.6442
2024-06-03 08:00:00,Humidity,%,50.7174
2024-06-03 08:00:00,Pressure,Pa,98207.7095
2024-06-03 08:00:00,PM2.5,ug/m3,21.6432
2024-06-03 08:00:00,PM10,ug/m3,40.5747
2024-06-03 08:00:00,NO₂,ppm,4.2631
2024-06-03 08:00:00,CO,ppm,0.002
2024-06-03 08:20:00,Temperature,°C,-0.5021
2024-06-03 08:20:00,Humidity,%,50.6247
2024-06-03 08:20:00,Pressure,Pa,98215.0216
2024-06-03 08:20:00,PM2.5,ug/m3,21.0984
2024-06-03 08:20:00,PM10,ug/m3,38.9316
2024-06-03 08:20:00,NO₂,ppm,4.2877
2024-06-03 08:20:00,CO,ppm,0.002
2024-06-03 08:40:00,Temperature,°C,0.0211
2024-06-03 08:40:00,Humidity,%,48.5426
2024-06-03 08:40:00,Pressure,Pa,98227.9358
2024-06-03 08:40:00,PM2.5,ug/m3,18.7368
2024-06-03 08:40:00,PM10,ug/m3,33.1805
2024-06-03 08:40:00,NO₂,ppm,4.1582
2024-06-03 08:40:00,CO,ppm,0.0025
2024-06-03 09:00:00,Temperature,°C,0.6395
2024-06-03 09:00:00,Humidity,%,46.7305
2024-06-03 09:00:00,Pressure,Pa,98230.0921
2024-06-03 09:00:00,PM2.5,ug/m3,19.9021
2024-06-03 09:00:00,PM10,ug/m3,36.0784
2024-06-03 09:00:00,NO₂,ppm,4.0901
2024-06-03 09:00:00,CO,ppm,0.0022
2024-06-03 09:20:00,Temperature,°C,1.2879
2024-06-03 09:20:00,Humidity,%,45.0121
2024-06-03 09:20:00,Pressure,Pa,98235.5021
2024-06-03 09:20:00,PM2.5,ug/m3,20.7726
2024-06-03 09:20:00,PM10,ug/m3,36.0384
2024-06-03 09:20:00,NO₂,ppm,4.0351
2024-06-03 09:20:00,CO,ppm,0.003
2024-06-03 09:40:00,Temperature,°C,2.0168
2024-06-03 09:40:00,Humidity,%,42.6663
2024-06-03 09:40:00,Pressure,Pa,98233.8111
2024-06-03 09:40:00,PM2.5,ug/m3,21.2821
2024-06-03 09:40:00,PM10,ug/m3,39.2021
2024-06-03 09:40:00,NO₂,ppm,3.9435
2024-06-03 09:40:00,CO,ppm,0.003
2024-06-03 10:00:00,Temperature,°C,2.9037
2024-06-03 10:00:00,Humidity,%,41.4921
2024-06-03 10:00:00,Pressure,Pa,98224.9789
2024-06-03 10:00:00,PM2.5,ug/m3,16.1032
2024-06-03 10:00:00,PM10,ug/m3,28.0689
2024-06-03 10:00:00,NO₂,ppm,3.7623
2024-06-03 10:00:00,CO,ppm,0.003
2024-06-03 10:20:00,Temperature,°C,3.9006
2024-06-03 10:20:00,Humidity,%,39.6959
2024-06-03 10:20:00,Pressure,Pa,98215.1841
2024-06-03 10:20:00,PM2.5,ug/m3,15.4
2024-06-03 10:20:00,PM10,ug/m3,26.8094
2024-06-03 10:20:00,NO₂,ppm,3.6523
2024-06-03 10:20:00,CO,ppm,0.003
2024-06-03 10:40:00,Temperature,°C,4.79
2024-06-03 10:40:00,Humidity,%,37.4712
2024-06-03 10:40:00,Pressure,Pa,98205.5165
2024-06-03 10:40:00,PM2.5,ug/m3,14.7771
2024-06-03 10:40:00,PM10,ug/m3,26.4765
2024-06-03 10:40:00,NO₂,ppm,3.4002
2024-06-03 10:40:00,CO,ppm,0.003
2024-06-03 11:00:00,Temperature,°C,5.9205
2024-06-03 11:00:00,Humidity,%,34.5179
2024-06-03 11:00:00,Pressure,Pa,98207.8
2024-06-03 11:00:00,PM2.5,ug/m3,10.2811
2024-06-03 11:00:00,PM10,ug/m3,18.0421
2024-06-03 11:00:00,NO₂,ppm,3.2784
2024-06-03 11:00:00,CO,ppm,0.003
2024-06-03 11:20:00,Temperature,°C,6.8529
2024-06-03 11:20:00,Humidity,%,33.0376
2024-06-03 11:20:00,Pressure,Pa,98208.3635
2024-06-03 11:20:00,PM2.5,ug/m3,8.15
2024-06-03 11:20:00,PM10,ug/m3,13.5894
2024-06-03 11:20:00,NO₂,ppm,3.1895
2024-06-03 11:20:00,CO,ppm,0.003
2024-06-03 11:40:00,Temperature,°C,7.7563
2024-06-03 11:40:00,Humidity,%,30.8995
2024-06-03 11:40:00,Pressure,Pa,98204.5705
2024-06-03 11:40:00,PM2.5,ug/m3,6.9942
2024-06-03 11:40:00,PM10,ug/m3,11.6742
2024-06-03 11:40:00,NO₂,ppm,3.1445
2024-06-03 11:40:00,CO,ppm,0.003
2024-06-03 12:00:00,Temperature,°C,8.605
2024-06-03 12:00:00,Humidity,%,29.3228
2024-06-03 12:00:00,Pressure,Pa,98195.78
2024-06-03 12:00:00,PM2.5,ug/m3,5.6289
2024-06-03 12:00:00,PM10,ug/m3,9.3256
2024-06-03 12:00:00,NO₂,ppm,3.0872
2024-06-03 12:00:00,CO,ppm,0.003
2024-06-03 12:20:00,Temperature,°C,9.55
2024-06-03 12:20:00,Humidity,%,27.2572
2024-06-03 12:20:00,Pressure,Pa,98187.4456
2024-06-03 12:20:00,PM2.5,ug/m3,4.8794
2024-06-03 12:20:00,PM10,ug/m3,8.3711
2024-06-03 12:20:00,NO₂,ppm,3.0533
2024-06-03 12:20:00,CO,ppm,0.003
2024-06-03 12:40:00,Temperature,°C,10.2959
2024-06-03 12:40:00,Humidity,%,25.3841
2024-06-03 12:40:00,Pressure,Pa,98178.4382
2024-06-03 12:40:00,PM2.5,ug/m3,4.4759
2024-06-03 12:40:00,PM10,ug/m3,8.0482
2024-06-03 12:40:00,NO₂,ppm,3.0192
2024-06-03 12:40:00,CO,ppm,0.0031
2024-06-03 13:00:00,Temperature,°C,11.1633
2024-06-03 13:00:00,Humidity,%,23.2606
2024-06-03 13:00:00,Pressure,Pa,98172.1094
2024-06-03 13:00:00,PM2.5,ug/m3,4.5756
2024-06-03 13:00:00,PM10,ug/m3,8.095
2024-06-03 13:00:00,NO₂,ppm,3.0322
2024-06-03 13:00:00,CO,ppm,0.0033
2024-06-03 13:20:00,Temperature,°C,11.7388
2024-06-03 13:20:00,Humidity,%,21.6912
2024-06-03 13:20:00,Pressure,Pa,98167.4318
2024-06-03 13:20:00,PM2.5,ug/m3,4.36
2024-06-03 13:20:00,PM10,ug/m3,7.7359
2024-06-03 13:20:00,NO₂,ppm,2.9745
2024-06-03 13:20:00,CO,ppm,0.004
2024-06-03 13:40:00,Temperature,°C,12.3317
2024-06-03 13:40:00,Humidity,%,21.5083
2024-06-03 13:40:00,Pressure,Pa,98152.2156
2024-06-03 13:40:00,PM2.5,ug/m3,4.6139
2024-06-03 13:40:00,PM10,ug/m3,8.0439
2024-06-03 13:40:00,NO₂,ppm,2.9063
2024-06-03 13:40:00,CO,ppm,0.004
2024-06-03 14:00:00,Temperature,°C,12.87
2024-06-03 14:00:00,Humidity,%,20.7665
2024-06-03 14:00:00,Pressure,Pa,98146.7453
2024-06-03 14:00:00,PM2.5,ug/m3,4.5235
2024-06-03 14:00:00,PM10,ug/m3,8.0982
2024-06-03 14:00:00,NO₂,ppm,2.8729
2024-06-03 14:00:00,CO,ppm,0.004
2024-06-03 14:20:00,Temperature,°C,13.365
2024-06-03 14:20:00,Humidity,%,19.94
